  0.231828E+01  0.899872E+04
  0.233417E+01  0.875050E+04
  0.235030E+01  0.850444E+04
  0.236667E+01  0.826063E+04
  0.238330E+01  0.803627E+04
  0.240017E+01  0.781609E+04
  0.241730E+01  0.759800E+04
  0.243469E+01  0.738207E+04
  0.245235E+01  0.716833E+04
  0.247027E+01  0.695687E+04
  0.248847E+01  0.675275E+04
  0.250694E+01  0.656425E+04
  0.252570E+01  0.637776E+04
  0.254475E+01  0.619335E+04
  0.256408E+01  0.601106E+04
  0.258371E+01  0.583092E+04
  0.260365E+01  0.565300E+04
  0.262389E+01  0.548511E+04
  0.264444E+01  0.532559E+04
  0.266531E+01  0.516806E+04
  0.268650E+01  0.501254E+04
  0.270802E+01  0.485907E+04
  0.272987E+01  0.470770E+04
  0.275206E+01  0.455843E+04
  0.277459E+01  0.441945E+04
  0.279747E+01  0.428520E+04
  0.282071E+01  0.415285E+04
  0.284432E+01  0.402243E+04
  0.286829E+01  0.389397E+04
  0.289263E+01  0.376747E+04
  0.291736E+01  0.364299E+04
  0.294248E+01  0.352781E+04
  0.296799E+01  0.341561E+04
  0.299390E+01  0.330520E+04
  0.302022E+01  0.319660E+04
  0.304695E+01  0.308983E+04
  0.307411E+01  0.298490E+04
  0.310170E+01  0.288183E+04
  0.312973E+01  0.278698E+04
  0.315820E+01  0.269432E+04
  0.318713E+01  0.260332E+04
  0.321652E+01  0.251396E+04
  0.324638E+01  0.242628E+04
  0.327671E+01  0.234028E+04
  0.330753E+01  0.225595E+04
  0.333885E+01  0.217849E+04
  0.337068E+01  0.210290E+04
  0.340301E+01  0.202878E+04
  0.343587E+01  0.195614E+04
  0.346926E+01  0.188499E+04
  0.350320E+01  0.181534E+04
  0.353768E+01  0.174718E+04
  0.357273E+01  0.168436E+04
  0.360835E+01  0.162323E+04
  0.364455E+01  0.156341E+04
  0.368134E+01  0.150490E+04
  0.371874E+01  0.144770E+04
  0.375675E+01  0.139182E+04
  0.379539E+01  0.133725E+04
  0.383467E+01  0.128695E+04
  0.387460E+01  0.123824E+04
  0.391519E+01  0.119067E+04
  0.395645E+01  0.114423E+04
  0.399841E+01  0.109892E+04
