[1.2214027581601699, 1.7332530178673953]    3.064208289e-10
[1.7332530178673953, 2.4596031111569499]    2.25143324293e-05
[2.4596031111569499, 3.4903429574618414]    0.00234926265372
[3.4903429574618414, 4.9530324243951149]    0.00407205046948
[4.9530324243951149, 7.0286875805892945]    0.002109760885
[7.0286875805892945, 9.9741824548147235]    0.00130621652821
[9.9741824548147235, 14.154038645375808]    0.00089742993265
[14.154038645375808, 20.085536923187675]    0.000516791846582
[20.085536923187675, 28.502733643767293]    0.000224374782872
[28.502733643767293, 40.447304360067413]    1.7804076198e-05
[40.447304360067413, 57.397457045446238]    3.98730716459e-19
[57.397457045446238, 81.450868664968141]    9.39801286197e-18
[81.450868664968141, 115.58428452718776]    1.48199017354e-18
[115.58428452718776, 164.02190729990184]    5.32502217743e-09
[164.02190729990184, 232.75816590766229]    4.28469968371e-19
1.47732788801    4.73904039863e-18
2.09642806451    2.93017800945e-16
2.97497303431    0.00247764240726
4.22168769093    0.00454930183782
5.99086000249    0.00220085501444
8.5014350177    0.00123581315358
12.0641105501    0.000745080795642
17.1197877843    0.000287684054902
24.2941352835    6.30552651814e-16
34.4750190019    1.8046199149e-18
48.9223807028    4.58084470503e-14
69.4241628552    9.05814685942e-21
98.5175765961    2.34930619877e-19
139.803095914    1.70924086539e-18
198.390036604    1.81171989816e-19
1.47732788801    4.20701872052e-20
1.47732788801    5.51019096343e-21
2.09642806451    1.60519417267e-11
2.97497303431    0.00237247244546
4.22168769093    0.00413724032099
5.99086000249    0.00212698521306
8.5014350177    0.00130353819366
12.0641105501    0.000884737906426
17.1197877843    0.000494835217362
24.2941352835    0.000195312068643
34.4750190019    1.11920870504e-09
48.9223807028    5.40362026169e-18
69.4241628552    2.6596869358e-16
98.5175765961    1.59794207911e-18
139.803095914    4.48132365616e-16
198.390036604    3.37907383281e-19
1.39485747183    [2.3210630590590796e-18, 2.3210630590590798e-20, 0.0, 0.0, 1e+20, 1e+24]
1.79103244648    [0.0018435340780299655, 1.8435340780299655e-05, 0.0, 0.0, 1e+20, 1e+24]
2.29973118339    [0.00880672475168926, 8.80672475168926e-05, 0.0, 0.0, 1e+20, 1e+24]
2.95291329103    [0.31489763379556274, 0.0031489763379556274, 0.0, 0.0, 1e+20, 1e+24]
3.79161571895    [0.41957991574293957, 0.004195799157429396, 0.0, 0.0, 1e+20, 1e+24]
4.86853095345    [0.22134731611789107, 0.0022134731611789106, 0.0, 0.0, 1e+20, 1e+24]
6.25131748616    [0.10525500182189648, 0.001052550018218965, 0.0, 0.0, 1e+20, 1e+24]
8.02685054001    [0.06164831554943967, 0.0006164831554943967, 0.0, 0.0, 1e+20, 1e+24]
10.3066801093    [0.023642486348266382, 0.00023642486348266381, 0.0, 0.0, 1e+20, 1e+24]
13.234039222    [2.352391374605749e-17, 2.3523913746057494e-19, 0.0, 0.0, 1e+20, 1e+24]
16.9928427266    [1.9070927535418487e-16, 1.907092753541849e-18, 0.0, 0.0, 1e+20, 1e+24]
